détails,prix,localisation,image URL
Samsung Galaxy S22 Ultra,280000,Grand Yoff,https://dakarvente.com/media/annonces/pics/thumbs/72ed4eaf5893577a72e5f5e6f92b9037.jpg
Brandnew Apple iPhone 15 Pro Max/ Sony PS5,700,Cité Avion,https://dakarvente.com/media/annonces/pics/thumbs/c3fba99e3944bef21c4f8eb549cf7980.jpg
iPhone 12 Pro max,270000,Dakar,https://dakarvente.com/img/nophoto.png
Iphone,150000,Médina,https://dakarvente.com/media/annonces/pics/thumbs/0def4a2cef5e495037407edfbc560353.jpeg
Vendeur iphone,150,Guédiawaye,https://dakarvente.com/media/annonces/pics/thumbs/8162b7385eed6a1d27a2c88a6075972b.jpeg
Vente iPhone,120000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/fc9f1619703739105b7ad636201d7e00.jpeg
Promo IPhone 7 Plus 128Go,85000,Médina,https://dakarvente.com/media/annonces/pics/thumbs/23f83da764cf4727299c69e2d7240798.jpeg
Promo iPhone SE 2022,110000,Médina,https://dakarvente.com/media/annonces/pics/thumbs/76d465f9dd2231076ead2eaeb35262c7.jpeg
Promo IPhone XR 256Go,160000,Médina,https://dakarvente.com/media/annonces/pics/thumbs/c84913a4a02610145ab98af9869213d1.jpeg
Iphone 12 pro max,250000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/ace3dbdc8dfeba963580719ad8996acf.jpeg
Promo iPhone 12 Pro 128Go,235000,Médina,https://dakarvente.com/media/annonces/pics/thumbs/d2ef5d85d3b567188556d92612b6a501.jpeg
Promo IPhone 7 Plus 128Go,78000,Médina,https://dakarvente.com/media/annonces/pics/thumbs/eb3f626045c33c6b076a6329dc523272.jpeg
Promo IPhone XR 64Go,120000,Médina,https://dakarvente.com/media/annonces/pics/thumbs/652befb216d3cb8f4b1e74d27ea86bb8.jpeg
Promo IPhone 11 Simple 128Go,175000,Médina,https://dakarvente.com/media/annonces/pics/thumbs/6e10cdece2ed59801008e6854be0c973.jpeg
