nom,prix,adresse,image
Paons Pigeons,30 000 CFA,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/968953_uploaded_image1_1569008082.81.png""); width: 439px;"
Poules,7 000 CFA,Sénégal,"background-image: url(""https://images.coinafrique.com/977534_uploaded_image2_1569239272.74.png""); width: 448px;"
Lapins angora californien,11 000 CFA,"Médina, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/993655_uploaded_image1_1569535990.77.png""); width: 457px;"
Brahmane poules,35 000 CFA,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1006369_uploaded_image2_1569853974.66.png""); width: 581px;"
Bleus d'hollande,15 000 CFA,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1006380_uploaded_image2_1569854064.42.png""); width: 581px;"
Pigeon voyageur,20 000 CFA,"Grand Yoff, Dakar, Sénégal",""
Pigeon voyageur,25 000 CFA,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1006413_uploaded_image1_1569854645.39.png""); width: 581px;"
Pigeon voyageur,20 000 CFA,"Grand Yoff, Dakar, Sénégal",""
Lapin angora californien,15 000 CFA,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1014679_uploaded_image1_1570023780.43.png""); width: 597px;"
Lapin géant,45 000 CFA,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1023073_uploaded_image2_1570188340.15.png""); width: 423px;"
Perroquet,75 000 CFA,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1040990_uploaded_image1_1570583700.42.png""); width: 563px;"
Lapin géant des Flandres,35 000 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",""
Pigeon links,Prix sur demande,"Diourbel, Sénégal","background-image: url(""https://images.coinafrique.com/1091921_uploaded_image1_1571681099.26.png""); width: 370px;"
Couple pigeons cravatés français,50 000 CFA,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1112720_uploaded_image1_1572054298.36.png""); width: 370px;"
Bleu hollandais,25 000 CFA,Sénégal,"background-image: url(""https://images.coinafrique.com/1115010_uploaded_image1_1572106167.81.png""); width: 448px;"
Pigeons,Prix sur demande,"Fatick, Sénégal","background-image: url(""https://images.coinafrique.com/1137405_uploaded_image2_1572537461.89.png""); width: 369px;"
Poulets Guinars tiirr,Prix sur demande,"Patte d'oie, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1146827_uploaded_image2_1572746441.92.png""); width: 438px;"
Maton,25 000 CFA,"Mermoz-Sacré-Cœur, Dakar, Sénégal",""
Lawar,30 000 CFA,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1148681_uploaded_image1_1572794832.68.png""); width: 420px;"
Poussin - 1 jour,Prix sur demande,Sénégal,"background-image: url(""https://images.coinafrique.com/1159518_uploaded_image1_1572985208.46.png""); width: 409px;"
Jeune femelle  lavande,20 000 CFA,"Les Parcelles Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1204935_uploaded_image1_1573840898.61.png""); width: 370px;"
Pigeons,60 000 CFA,"Pikine, Sénégal",""
Pigeon à queue de paon indien,20 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1242200_uploaded_image1_1574510941.51.png""); width: 575px;"
Pigeon fauve,10 000 CFA,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1246480_uploaded_image1_1574613561.29.png""); width: 575px;"
Pigeon mondain,20 000 CFA,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1247406_uploaded_image1_1574631655.88.png""); width: 575px;"
Lapereaux fauve,Prix sur demande,"Ngor, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1261253_uploaded_image1_1574871227.98.png""); width: 628px;"
Lapins de race,70 000 CFA,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1291213_uploaded_image2_1575425609.27.png""); width: 472px;"
Lapins de race,70 000 CFA,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1291215_uploaded_image2_1575425694.27.png""); width: 472px;"
Lapin,25 000 CFA,"Grand Yoff, Dakar, Sénégal",""
Dinde d'Amérique,Prix sur demande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1346036_uploaded_image1_1576462750.49.png""); width: 439px;"
Canards,5 000 CFA,"Mermoz-Sacré-Cœur, Dakar, Sénégal",""
Lapins de race,80 000 CFA,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1364891_uploaded_image2_1591311164.jpeg""); width: 369px;"
Oeuf fécondé,240 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1365452_uploaded_image2_1576790350.48.png""); width: 537px;"
Trio Bantam de Pékin,60 000 CFA,"Keur Massar, Sénégal",""
Brahmane,50 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1415899_uploaded_image2_1577916626.18.png""); width: 550px;"
Poulet de race,40 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1417714_uploaded_image2_1577970780.03.png""); width: 436px;"
Poussin hermine - 7 jours,15 000 CFA,Sénégal,""
Poule,35 000 CFA,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1461888_uploaded_image1_1578719186.99.png""); width: 436px;"
Males Bantam de Pékin,15 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1480111_uploaded_image1_1579028647.6.png""); width: 610px;"
Poulet,40 000 CFA,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1521236_uploaded_image1_1579695858.03.png""); width: 417px;"
Couple Cochin,Prix sur demande,"Keur Massar, Sénégal",""
Oies,90 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1584132_uploaded_image3_1580714620.25.png""); width: 610px;"
Femelle cochin bleu,30 000 CFA,"Les Parcelles Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1599500_uploaded_image1_1580916087.86.png""); width: 370px;"
Poule,55 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1645136_uploaded_image2_1581608040.8.png""); width: 550px;"
Blond Panoramin,40 000 CFA,"Guediawaye, Dakar, Sénégal",""
Lapin métissé,10 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1687460_uploaded_image1_1582336381.54.png""); width: 437px;"
Paon,250 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1691196_uploaded_image1_1582420837.2.png""); width: 583px;"
Coq Orpington Fauve,35 000 CFA,"Louga, Sénégal","background-image: url(""https://images.coinafrique.com/1699722_uploaded_image1_1582581938.31.png""); width: 430px;"
Pigeons,65 000 CFA,"Dakar-Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1712742_uploaded_image1_1582798028.37.png""); width: 396px;"
Poussin Orpington,5 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1716103_uploaded_image1_1582837127.36.png""); width: 419px;"
Coq,25 000 CFA,"Les Parcelles Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1723625_uploaded_image2_1582972350.57.png""); width: 436px;"
Lapin Angora,25 000 CFA,"Thies Nord, Thiès, Sénégal","background-image: url(""https://images.coinafrique.com/1732205_uploaded_image2_1583152160.49.png""); width: 369px;"
Mâle bantam,20 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1773437_uploaded_image2_1583858452.61.png""); width: 610px;"
Pigeon texan paon indien,60 000 CFA,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1804515_uploaded_image2_1584398280.63.png""); width: 369px;"
Pigeon texan - Paon indien,60 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1804522_uploaded_image1_1584398352.13.png""); width: 369px;"
Paon indien,30 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1804679_uploaded_image1_1584402291.56.png""); width: 462px;"
Poulet de chair,2 700 CFA,Sénégal,"background-image: url(""https://images.coinafrique.com/1804847_uploaded_image1_1584408926.38.png""); width: 407px;"
Cop Brahma,40 000 CFA,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1812172_uploaded_image2_1584528622.9.png""); width: 427px;"
Pigeon voyageur,13 000 CFA,"Dakar-Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1831098_uploaded_image2_1584866026.28.png""); width: 410px;"
Pigeon voyageur,13 000 CFA,"Dakar-Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1831100_uploaded_image1_1584866055.19.png""); width: 410px;"
Poulet de chair,3 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/1842198_uploaded_image2_1585068914.59.png""); width: 603px;"
Pigeons Mondain / boulan,Prix sur demande,"Louga, Sénégal","background-image: url(""https://images.coinafrique.com/1856511_uploaded_image1_1585321343.73.png""); width: 383px;"
Poulet de chair,2 500 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1888745_uploaded_image1_1585919292.3.png""); width: 422px;"
Pigeon paon,40 000 CFA,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1890068_uploaded_image1_1585932988.65.png""); width: 583px;"
Pigeons,30 000 CFA,"Mermoz-Sacré-Cœur, Dakar, Sénégal",""
Pigeons Laor,40 000 CFA,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1890181_uploaded_image1_1585934252.04.png""); width: 583px;"
Pigeons King,35 000 CFA,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1890193_uploaded_image1_1585934383.75.png""); width: 583px;"
Coq Orpitone,30 000 CFA,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1890489_uploaded_image1_1585937996.82.png""); width: 583px;"
Poulet,3 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1907954_uploaded_image2_1586270049.67.png""); width: 369px;"
Orpington,30 000 CFA,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1913036_uploaded_image1_1586352896.21.png""); width: 583px;"
Lapins,Prix sur demande,"Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1913175_uploaded_image1_1586355015.48.png""); width: 369px;"
Poulets,2 750 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1918730_uploaded_image1_1586442251.23.png""); width: 369px;"
Poulets de chairs,2 500 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1934126_uploaded_image1_1586708547.66.png""); width: 596px;"
Poulets,2 400 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1963021_uploaded_image1_1587139946.35.jpeg""); width: 406px;"
Poulets,2 400 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1963033_uploaded_image1_1587140018.16.jpeg""); width: 406px;"
Poussins nés le 8 avril,650 CFA,"Saly, Sénégal",""
Couple Brahman,Prix sur demande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1975396_uploaded_image2_1587342507.59.jpeg""); width: 610px;"
Poulets de chair,2 500 CFA,"Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1988804_uploaded_image2_1587553659.jpeg""); width: 451px;"
Poussins  brahman colombia,Prix sur demande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1990096_uploaded_image1_1587571540.jpg""); width: 610px;"
Pigeon,35 000 CFA,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1992182_uploaded_image1_1587592805.jpg""); width: 369px;"
Couple Laor,50 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1995115_uploaded_image1_1587645382.jpg""); width: 583px;"
Pigeons,50 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1995134_uploaded_image1_1587645507.jpg""); width: 583px;"
Couple  Laor,50 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1995183_uploaded_image1_1587645917.jpg""); width: 583px;"
Couple Laor,50 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1995210_uploaded_image1_1587646147.jpg""); width: 583px;"
Oie,35 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1997244_uploaded_image1_1587667066.jpg""); width: 583px;"
Poulets,3 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2001942_uploaded_image3_1587735662.67.jpeg""); width: 638px;"
Poulets à vendre et oeufs,2 200 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2002375_uploaded_image1_1587741273.jpg""); width: 546px;"
Poulet,4 200 CFA,"Dakar, Sénégal",""
Couple Pigeon Cravate,30 000 CFA,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2082389_uploaded_image2_1588989026.jpeg""); width: 370px;"
Poulet Bleu hollandais,30 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2106379_uploaded_image2_1592468165.jpeg""); width: 519px;"
Poulet,3 000 CFA,"Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2132014_uploaded_image1_1589793253.jpg""); width: 431px;"
Poulet mâle,2 200 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2172605_uploaded_image1_1590453736.jpg""); width: 555px;"
Pigeon lavande,35 000 CFA,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2203490_uploaded_image1_1590929887.jpg""); width: 370px;"
poulet,2 500 CFA,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2218341_uploaded_image1_1591159723.jpg""); width: 426px;"
Lapin,15 000 CFA,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2221308_uploaded_image2_1591193546.jpeg""); width: 537px;"
Lapin,20 000 CFA,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2221541_uploaded_image2_1591196082.jpeg""); width: 537px;"
Lapins Angora française,15 000 CFA,"HLM, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2223516_uploaded_image1_1591222379.jpg""); width: 369px;"
Lapins,15 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2229912_uploaded_image1_1591309427.jpg""); width: 369px;"
Poussin brahmane,12 500 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2257183_uploaded_image1_1591743270.jpg""); width: 583px;"
Poussin brahmane,12 500 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2257189_uploaded_image1_1591743386.jpg""); width: 583px;"
Jeunes mâles brahman,Prix sur demande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2258568_uploaded_image1_1591778766.jpg""); width: 550px;"
Couple bramane productrice,65 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2263150_uploaded_image1_1591826889.jpg""); width: 577px;"
Culbita rakovni,40 000 CFA,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2270078_uploaded_image1_1591913628.5.jpeg""); width: 535px;"
Cochin coucou,40 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2283626_uploaded_image1_1592152112.jpg""); width: 583px;"
Cochin,40 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2283654_uploaded_image1_1592152413.jpg""); width: 583px;"
Poules,40 000 CFA,"Dakar, Sénégal",""
Poulet,40 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2284393_uploaded_image1_1592163359.jpg""); width: 583px;"
Poulet de chair,3 000 CFA,"Mbour, Sénégal",""
Lapin - lapereaux,20 000 CFA,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2297368_uploaded_image2_1592352690.jpeg""); width: 537px;"
Cauchoix pair,70 000 CFA,"Dakar, Sénégal",""
Pigeons,60 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2321099_uploaded_image1_1592725966.jpg""); width: 583px;"
Poussins Brahmane blanc,10 000 CFA,"Dakar, Sénégal",""
Paon - pigeon,35 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2323541_uploaded_image1_1592764212.jpg""); width: 583px;"
Pigeons,70 000 CFA,"Dakar, Sénégal",""
Lince,70 000 CFA,"Dakar, Sénégal",""
Poules bleu Hollande,2 000 CFA,"Diourbel, Sénégal","background-image: url(""https://images.coinafrique.com/2336310_uploaded_image1_1592955606.jpg""); width: 436px;"
Lapins,50 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2349641_uploaded_image1_1593167061.jpg""); width: 605px;"
Poule de race,15 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2351149_uploaded_image1_1593181470.jpg""); width: 369px;"
Colvert,25 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2373373_uploaded_image1_1593556758.jpg""); width: 369px;"
Cailles,12 500 CFA,"Keur Massar, Sénégal",""
Poussins Brahman,Prix sur demande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2397001_uploaded_image2_1593963656.jpeg""); width: 550px;"
Poussin brahmane,12 500 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2421069_uploaded_image1_1594340902.jpg""); width: 583px;"
Pigeons,40 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2421679_uploaded_image1_1594369562.jpg""); width: 369px;"
Lapins,20 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2429419_uploaded_image2_1607288946.jpeg""); width: 440px;"
Poulet,3 000 CFA,"Patte d'oie, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2450669_uploaded_image1_1594987392.jpg""); width: 406px;"
Poussîns,480 CFA,"Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2455108_uploaded_image1_1595083998.jpg""); width: 425px;"
Pigeon voyageur,Prix sur demande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2463056_uploaded_image1_1595273844.jpg""); width: 607px;"
Pigeon boulant de pomerani mâle,50 000 CFA,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2499730_uploaded_image1_1596141952.jpg""); width: 392px;"
Lapin femelle,25 000 CFA,"Fass, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2501399_uploaded_image1_1596221963.jpg""); width: 369px;"
Pigeon voyageur,7 000 CFA,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2505095_uploaded_image1_1596378141.jpg""); width: 385px;"
Pigeon voyageur,7 000 CFA,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2507523_uploaded_image1_1596456276.jpg""); width: 385px;"
Paons,5 000 CFA,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2511822_uploaded_image1_1596551448.jpg""); width: 385px;"
Poussins brahman colombia,Prix sur demande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2513890_uploaded_image1_1596608950.jpg""); width: 550px;"
Pigeon allemand,50 000 CFA,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2516109_uploaded_image1_1596644250.jpg""); width: 387px;"
Poulet - oeuf,Prix sur demande,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2516606_uploaded_image1_1596653482.jpg""); width: 450px;"
Pigeons,Prix sur demande,"Mboro, Sénégal","background-image: url(""https://images.coinafrique.com/2521008_uploaded_image1_1596768507.jpg""); width: 534px;"
Lapin nain,30 000 CFA,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2541503_uploaded_image1_1597357353.jpg""); width: 458px;"
Lapin nain,35 000 CFA,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2541523_uploaded_image1_1597358026.jpg""); width: 549px;"
Brahman colombia,Prix sur demande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2560354_uploaded_image1_1597924245.jpg""); width: 610px;"
Pigeons dragon blanc sec & voyageur,15 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2561021_uploaded_image1_1597934615.jpg""); width: 419px;"
Pigeons cravaté chinois,15 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2566760_uploaded_image1_1598102409.jpg""); width: 419px;"
Poules Brahman,15 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2572060_uploaded_image1_1598279843.jpg""); width: 392px;"
Poulets,3 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2577823_uploaded_image1_1598451435.jpg""); width: 369px;"
Poussins,Prix sur demande,"Keur Massar, Sénégal",""
Bramah  - hermineh  -frises blancs,25 000 CFA,"Sicap Liberté, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2591465_uploaded_image2_1598970773.jpeg""); width: 558px;"
Pigeon voyageur,4 000 CFA,"Ouakam, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2600934_uploaded_image2_1599238240.jpeg""); width: 407px;"
Pigeon ordinaire,1 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2604620_uploaded_image1_1599388255.jpg""); width: 369px;"
Paire Cohen Barman,65 000 CFA,"Ndiass, Sénégal","background-image: url(""https://images.coinafrique.com/2605030_uploaded_image1_1599401534.jpg""); width: 425px;"
Couple texan,45 000 CFA,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2608792_uploaded_image2_1599519769.jpeg""); width: 407px;"
Couple Texan,55 000 CFA,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2615679_uploaded_image2_1599734825.jpeg""); width: 407px;"
Pigeons Boulant De Saxe adultes,40 000 CFA,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2617019_uploaded_image1_1599763487.jpg""); width: 392px;"
Pigeon voyageur,Prix sur demande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2621772_uploaded_image2_1599939192.jpeg""); width: 369px;"
Poule rouge & bleus d'Hollande,10 000 CFA,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/2625194_uploaded_image2_1600090475.jpeg""); width: 521px;"
Couple Texan,45 000 CFA,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2627818_uploaded_image1_1600179722.jpg""); width: 407px;"
Poulets brahman,25 000 CFA,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2631399_uploaded_image1_1600290648.jpg""); width: 442px;"
Lapins nains,30 000 CFA,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2640033_uploaded_image1_1600626505.jpg""); width: 549px;"
Lapins nains,35 000 CFA,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2640044_uploaded_image1_1600626910.jpg""); width: 458px;"
Pigeons voyageurs,Prix sur demande,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2640132_uploaded_image1_1600629959.jpg""); width: 411px;"
Mondains standard 2019,Prix sur demande,"Dakar, Sénégal",""
Poule Cochin cailloutée,180 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2641987_uploaded_image1_1600702005.jpg""); width: 396px;"
Lapin géant Angoura,15 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2644118_uploaded_image1_1600776918.jpg""); width: 414px;"
Pigeon - Couple Texen,35 000 CFA,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2655212_uploaded_image1_1601230092.jpg""); width: 369px;"
Pigeons frisés milanais,1 000 CFA,"Cambérène, Dakar, Sénégal",""
Pigeons mondains,200 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2663305_uploaded_image2_1601545362.jpeg""); width: 400px;"
Poules,20 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2673317_uploaded_image1_1601899857.jpg""); width: 392px;"
Brahmanes de pure race - peruches ondulés,25 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2678983_uploaded_image2_1602106099.jpeg""); width: 430px;"
