détails,prix,localisation,image URL
Vente Suzuki kizashi 2012,3300000,Liberté 6,media/annonces/pics/thumbs/699c953a8602af2020c451f6b6ace640.jpg
Peugeot 308 2016 VENANT,6800000,Liberté 6,media/annonces/pics/thumbs/0a84f874f6671801af0b2793ac485e69.jpg
Casque moto,37000,Castors,media/annonces/pics/thumbs/bdfd47bb946275f94f96a95be048af65.jpeg
Casque moto,19500,Castors,media/annonces/pics/thumbs/dce664bde74e142a876714708a70a264.jpeg
Casque moto,36500,Castors,media/annonces/pics/thumbs/4afd35238ce08063ac477031c0427957.jpeg
Gant moto,23500,Castors,media/annonces/pics/thumbs/a493c75d710afce5589a2effbcc5a5e1.jpeg
Veste motard,59500,Castors,media/annonces/pics/thumbs/aa95fb7364ccd5f9efbb052bff368fa1.jpeg
À vendre,5800000,Sacré coeur,media/annonces/pics/thumbs/298f5ee4eaaa740e97dac66ee6555c41.jpeg
Ford Mondeo 2010,1700000,Rufisque,media/annonces/pics/thumbs/dcd0af793dafe6efc3e42519195c4376.jpg
HONDA CRV 2010,2600000,Liberté 6,media/annonces/pics/thumbs/6df221e8e1a5c29a6700dcea758ccab7.jpg
Casque moto,1,Castors,media/annonces/pics/thumbs/87a3c4d9a3c96c36efe4b39ea665a424.jpeg
Peugeot 308 2013,3400000,Rufisque,media/annonces/pics/thumbs/4c7aae3465d6cb612582f5b67d437cac.jpg
BMW X3 2015,5300000,Ouest foire,media/annonces/pics/thumbs/d55ee9205930da6bf31224d611bda367.jpg
Mercedes Vito 2014,5850000,Liberté 6,media/annonces/pics/thumbs/3b97e01c94ea53b69e0dafcfac8bc497.jpg
Hyundai Tucson 2012,4650000,Derklé,media/annonces/pics/thumbs/e9760527694f4a539f38862eaf61da89.jpg
Ford Fusion Titanium 2015,2700000,Liberté 6,media/annonces/pics/thumbs/3018dd9a8211c0297bb1ac9bce97ce90.jpg
Peugeot 508 2016,3900000,Derklé,media/annonces/pics/thumbs/359fc444408547b6fec47e4d2cb30039.jpg
Voiture bon état a vendre,2500000,Liberté 4,media/annonces/pics/thumbs/7d238552e9e177e4be28a00c049d3eab.jpeg
Nissan Qashqai 2012,3300000,Castors,media/annonces/pics/thumbs/9cd1a634db9fe572908ea233f64f1466.jpg
Nissan Rogue 2010,2700000,Guédiawaye,media/annonces/pics/thumbs/005669625b7aadbb2bed50bd24254628.jpg
Location de voitures,35000,Dakar,media/annonces/pics/thumbs/ff5ce4b425495363c55806d835fa3781.jpg
Mercedes C350 2012,4500000,Dakar,media/annonces/pics/thumbs/2ac630912f1b4b0c05d85292dab22fc4.jpg
Hyundai Sonata 2014,2850000,Cité avion,media/annonces/pics/thumbs/7414ed9dad79bc605957e48ae1bd7b59.jpg
Ford Explorer 2016,5850000,Dakar,media/annonces/pics/thumbs/438f489004fa92fc567051e2b62cdcdb.jpg
Hyundai SONATA 2016,6300000,Almadies,media/annonces/pics/thumbs/74fa3f38b479a94d8543eff86a8b532b.jpeg
Peugeot 407,2200000,Cambérène,media/annonces/pics/thumbs/6ccaa8b9760a5e6f2563bad46a986c8d.jpg
GMC TERRAIN 2016,4900000,Dakar,media/annonces/pics/thumbs/c863b0757544ba3d9e8afa62c9e0f3c1.jpg
PEUGEOT 2008 GT LINE,12000000,Ouakam,media/annonces/pics/thumbs/cf2dbae999c65ef9707123002556a226.jpg
Chevrolet Cruze 2011,2350000,Keur massar,media/annonces/pics/thumbs/afbad9d71f85f836c7d657adb66391a2.jpg
LOCATION DE MINI BUS TOYOTA HIACE,90000,Grand yoff,media/annonces/pics/thumbs/987ab4a68cdd23e5bdeb128608c146f2.jpg
Mercedes Actros 1218 Grue Hiab,9000000,Dakar,media/annonces/pics/thumbs/d439600d1ce7765f3bae660065b37db4.jpg
Vente Peugeot très bonne état,2700000,Dieuppeul,media/annonces/pics/thumbs/120f14de648cae3b7619c199dd2d304f.jpg
Mitsubishi RVR 2013,4900000,Castors,media/annonces/pics/thumbs/2cdf2e0cc8af4409c002dfc79b27fee7.jpg
VELO ENFANT,45000,Dakar,media/annonces/pics/thumbs/74b7f1cccf212abd5e454eea6bad6cea.jpeg
Peugeot 508 VENANT 2017,4400000,Parcelles assainies,media/annonces/pics/thumbs/7367cccfd8a2105179431834ca315a0e.jpg
Citroen Ds4 2014,3800000,Castors,media/annonces/pics/thumbs/de5563e2a386a943611ec6a2024f7c7b.jpg
Peugeot 2008 2017,5900000,Dakar,media/annonces/pics/thumbs/080b5e89bb47dbd1c3e410cbfaf134b7.jpg
Skoda Rapid 2013,1900000,Dakar,media/annonces/pics/thumbs/82395e6cd785dc884b6e7a4cf9ca51a8.jpg
Renault QM3 2017 VENANT,7700000,Keur massar,media/annonces/pics/thumbs/0694eed6049a4bc8156b72cc17dc0c4c.jpg
Toyota MatriX 2010,2400000,Dakar,media/annonces/pics/thumbs/4909e740e36dc428f4f6a2dea3625fa3.jpg
Toyota HiluX 2017,11800000,Dakar,media/annonces/pics/thumbs/50a4efad41e17a79637de92169ab1fe9.jpg
MITSUBISHI PAJERO SPORT DID 2014,8000000,Guédiawaye,media/annonces/pics/thumbs/a48d98eacbf290f64916be93251f05a6.jpg
Ranger Rover Sport 2019 VENANT,35000000,Dakar,media/annonces/pics/thumbs/4f164e3b4f617283cf9bd07a789ab531.jpg
Nissan Qashqai+2 2011,3700000,Castors,media/annonces/pics/thumbs/4a07ea34cb2374127b62f7985081a2ed.jpg
VENTE DE TRACTEURS A BON PRIX 01,24500000,Sacré coeur,media/annonces/pics/thumbs/aad2a5f37adbad7ac0b79a6a47e3cac5.jpeg
Hyundai Tucson 2020 VENANT,14500000,Dakar,media/annonces/pics/thumbs/a04c54f5a1a0a821b13662316df9ad7c.jpg
Hyundai Elantra 2015,3850000,Ouest foire,media/annonces/pics/thumbs/b9561df7d41eb09a4073cd53be13d300.jpg
Jeep compass 2010,2800000,Liberté 6,media/annonces/pics/thumbs/1b485a8378e0b5b32e87328aa6061879.jpg
Nissan Rogue 2014,3400000,Liberté 6,media/annonces/pics/thumbs/805432f5a1e3cd2fdc981e8a7bcf8494.jpg
