Détails,Prix,Localisation,Image URL
Samsung Galaxy S22 Ultra,280000,Grand Yoff,https://dakarvente.com/media/annonces/pics/thumbs/72ed4eaf5893577a72e5f5e6f92b9037.jpg
Brandnew Apple iPhone 15 Pro Max/ Sony PS5,700,Cité Avion,https://dakarvente.com/media/annonces/pics/thumbs/c3fba99e3944bef21c4f8eb549cf7980.jpg
iPhone 12 Pro max,270000,Dakar,https://dakarvente.com/img/nophoto.png
Iphone,150000,Médina,https://dakarvente.com/media/annonces/pics/thumbs/0def4a2cef5e495037407edfbc560353.jpeg
Vendeur iphone,150,Guédiawaye,https://dakarvente.com/media/annonces/pics/thumbs/8162b7385eed6a1d27a2c88a6075972b.jpeg
Vente iPhone,120000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/fc9f1619703739105b7ad636201d7e00.jpeg
Promo IPhone 7 Plus 128Go,85000,Médina,https://dakarvente.com/media/annonces/pics/thumbs/23f83da764cf4727299c69e2d7240798.jpeg
Promo iPhone SE 2022,110000,Médina,https://dakarvente.com/media/annonces/pics/thumbs/76d465f9dd2231076ead2eaeb35262c7.jpeg
Promo IPhone XR 256Go,160000,Médina,https://dakarvente.com/media/annonces/pics/thumbs/c84913a4a02610145ab98af9869213d1.jpeg
Iphone 12 pro max,250000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/ace3dbdc8dfeba963580719ad8996acf.jpeg
Promo iPhone 12 Pro 128Go,235000,Médina,https://dakarvente.com/media/annonces/pics/thumbs/d2ef5d85d3b567188556d92612b6a501.jpeg
Promo IPhone 7 Plus 128Go,78000,Médina,https://dakarvente.com/media/annonces/pics/thumbs/eb3f626045c33c6b076a6329dc523272.jpeg
Promo IPhone XR 64Go,120000,Médina,https://dakarvente.com/media/annonces/pics/thumbs/652befb216d3cb8f4b1e74d27ea86bb8.jpeg
Promo IPhone 11 Simple 128Go,175000,Médina,https://dakarvente.com/media/annonces/pics/thumbs/6e10cdece2ed59801008e6854be0c973.jpeg
Huawei G7 - L01,55000,Keur Massar,https://dakarvente.com/media/annonces/pics/thumbs/1d0ab130353d6179a2912a28e82acba1.jpg
Samsung galaxy j2 core,58000,Point E,https://dakarvente.com/media/annonces/pics/thumbs/b6707dbdaaecb21e337cfaaa76573023.jpg
Tecno camon 11 pro,140000,Point E,https://dakarvente.com/media/annonces/pics/thumbs/67637b4ce7e13bdfdf994671f13dde9a.jpeg
Oraimo power bank,17500,Point E,https://dakarvente.com/media/annonces/pics/thumbs/d9d9160da10535dbd409d850b48762ff.jpg
Téléphones a vendre,45000,Médina,https://dakarvente.com/img/nophoto.png
Google Pixel 7 128 gb,285000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/cb4682f345fc12ce4aa1e06d84944b96.jpg
Samsung Galaxy Fold 5 512 gb,895000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/9f2c4cb43361fd8ffdb284acf55c95c9.jpg
Samsung Galaxy z-Flip 5 256 gb,495000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/463de72111b401af5d41ebb0f6916985.jpg
iPhone 15 sim physique natural titanium,855000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/0547340e4dcd68dd26c3d32fd53b4292.jpg
Huawei mate 20 pro,140000,Mbao,https://dakarvente.com/media/annonces/pics/thumbs/20667d5bbd39eac9ea16bf12800e859d.jpg
Samsung S22 ultra,350000,Mbao,https://dakarvente.com/media/annonces/pics/thumbs/291221dba06731ec56741177e6d61e68.jpg
iPhone 12 simple 64Go,150000,Mbao,https://dakarvente.com/media/annonces/pics/thumbs/4b39f7d8bc6bf23c190f7cfe79ab25a8.jpeg
Redmi note 12 pro plus,190000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/57bd1d44ca300f4cbe85bbb8ccd91ec6.jpeg
Redmi note 11 pro,135000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/b329c0c93eb3b2fd209e0bd554bb5f86.jpeg
Redmi note 10 pro,110000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/28e7c7c5268562ec7ad1e0a916098abf.jpeg
Samsung z Flip 4,275000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/6e9770e1688338722ab9c92c6c7efbef.jpeg
Galaxy z Flip 3,220000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/e35aa1fbf00055d7058a32b348591b7d.jpeg
Galaxy s22 5g,230000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/3e5960da24c4d3e2611f0124c5029272.jpeg
Samsung s21 ultra,245000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/289acdaa8f362557972e2c7000eccbd9.jpeg
Samsung s22 ultra,375000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/9b7c88a704029c61de527982af93df16.jpeg
Galaxy s20 ultra,185000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/c74ac58d93a11734f4738fa838ef0490.jpeg
Galaxy s20,135000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/6c11aaf640918e14d9751be5b920ce4b.jpeg
Galaxy note 10 plus,175000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/d2cd8f3c2d034d224666596bab4957d8.jpeg
Galaxy s21 5g,155000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/7096ee25a2deb46ae2f5f50ad3850c68.jpeg
Samsung Galaxy s21 plus 5g,175000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/267ab0350d18b7c079c90b2d7664fa82.jpeg
Huawei nova 3i,65000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/43676ee9b36a53c9a006e853161945a9.jpeg
Huawei p30 pro,155000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/0aad3c89b3cce8b53793f2f1d6fc13a7.jpeg
Samsung galaxy z fold 4 512g,460000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/5d6503ff9efb910ee2a9ee2922528392.jpeg
iphone 12,220000,Dakar,https://dakarvente.com/img/nophoto.png
iphone 13 pro authentique,380000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/89e23b19887afc8eedf9ae7e8ce6923b.jpeg
iphone 13 pro max,430000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/99d8f18efbe61980f6fc71695eedf426.jpeg
iPhone 12 Pro Max authentique garantie,355000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/79e02d7b6bb4e995b6534e52d89f86a4.jpeg
iPhone 12 pro,280000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/fc097dcbc37a1d0d111212d6dbed656f.jpeg
iPhone 11 authentique,165000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/56a225e5156ec0c2edb9103432f6604b.jpeg
iPhone 8 Plus authentique,90000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/bbbb2753d4ab19cf82d6f02b63d6e735.jpeg
iphone 13 authentique,290000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/e9c01c09d7646a1dc7514ce6c5dfada3.jpeg
Promo iPhone 12 Pro Max 128GO,350000,Mbao,https://dakarvente.com/media/annonces/pics/thumbs/6d6b1222558874d43e9d8683f278df4f.jpeg
Promo iPhone 7 Simple 128Go,65000,Mbao,https://dakarvente.com/media/annonces/pics/thumbs/ccda099e3e07e633b7cabdacc31136e2.jpeg
Promo IPhone 8 Plus 64Go,95000,Mbao,https://dakarvente.com/media/annonces/pics/thumbs/c707e195d0000fc3c2832cb8da8732d1.jpeg
Promo 13 simple 128Go,285000,Mbao,https://dakarvente.com/media/annonces/pics/thumbs/064ca5dd0089a0f12d941be3624090ac.jpeg
Promo 11 simple 64Go,165000,Mbao,https://dakarvente.com/media/annonces/pics/thumbs/1fcd2cb20027383870c928db3506cd4e.jpeg
Promo iPhone 12 Simple 128Go,225000,Mbao,https://dakarvente.com/media/annonces/pics/thumbs/e66ad53461fe0fc667a6e7250c87724c.jpeg
